자치구,동,합계,주거,주거,주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,"운송(차량, 철도 등)",임야,기타
자치구,동,합계,단독주택,공동주택,기타주택,학교,일반업무,판매시설,숙박시설,종교시설,의료시설,공장 및 창고,작업장,위락오락시설,음식점,일반서비스시설,기타,"운송(차량, 철도 등)",임야,기타
강북구,수유2동,9,1,1,-,-,1,-,-,1,1,-,-,1,1,1,1,-,-,-
강북구,수유3동,22,4,4,-,-,1,-,-,-,-,-,-,3,7,2,1,-,-,-
강북구,삼양동,15,9,3,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1
강북구,미아동,13,5,2,-,1,-,-,-,-,-,-,-,-,2,-,1,1,-,1
강북구,송중동,21,8,4,-,-,-,-,-,-,1,-,1,1,-,1,-,1,1,3
강북구,송천동,17,9,1,-,-,-,-,-,-,-,1,-,-,1,1,-,3,-,1
강북구,삼각산동,12,-,8,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-
강북구,우이동,8,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
강북구,인수동,10,4,1,-,-,1,1,-,-,-,-,-,-,1,1,1,-,-,-
도봉구,소계,188,43,71,-,-,10,3,-,1,-,3,3,2,14,6,3,7,2,20
도봉구,쌍문1동,7,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2
도봉구,쌍문2동,14,3,7,-,-,1,-,-,1,-,-,-,-,-,1,-,1,-,-
도봉구,쌍문3동,10,2,1,-,-,-,1,-,-,-,-,-,-,2,-,-,1,-,3
도봉구,쌍문4동,10,-,5,-,-,-,1,-,-,-,-,-,-,-,1,-,2,-,1
도봉구,방학1동,24,6,8,-,-,5,-,-,-,-,-,-,-,-,2,-,2,-,1
도봉구,방학2동,21,10,3,-,-,1,-,-,-,-,-,1,-,3,-,-,-,-,3
도봉구,방학3동,9,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
도봉구,창1동,11,3,5,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
도봉구,창2동,15,5,5,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,1
도봉구,창3동,10,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
도봉구,창4동,13,-,7,-,-,1,-,-,-,-,2,-,-,-,-,1,-,-,2
도봉구,창5동,12,1,8,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
도봉구,도봉1동,21,3,6,-,-,1,1,-,-,-,-,-,1,4,-,-,-,1,4
도봉구,도봉2동,11,2,4,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,1
노원구,소계,241,21,91,1,3,8,5,-,1,-,2,4,-,15,9,18,17,9,37
노원구,월계1동,10,1,1,-,-,1,1,-,-,-,-,1,-,2,3,-,-,-,-
노원구,월계2동,20,1,12,-,1,-,-,-,-,-,-,-,-,1,-,-,1,3,1
노원구,월계3동,15,1,7,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,4
노원구,공릉2동,23,1,9,-,1,-,-,-,-,-,1,-,-,1,1,-,4,-,5
노원구,하계1동,11,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
노원구,하계2동,4,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-
노원구,중계본동,12,-,4,-,-,1,-,-,-,-,-,-,-,-,-,3,-,2,2
노원구,중계1동,8,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
노원구,중계4동,12,-,4,-,-,1,-,-,-,-,-,-,-,1,-,2,2,-,2
노원구,상계1동,20,1,6,-,-,2,1,-,1,-,-,-,-,1,-,1,-,1,6
노원구,상계2동,19,3,1,-,-,1,-,-,-,-,1,-,-,5,1,4,1,-,2
노원구,상계5동,9,5,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1
노원구,상계8동,7,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-
노원구,상계9동,4,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
노원구,상계10동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
노원구,상계3.4동,22,7,5,1,-,1,1,-,-,-,-,1,-,-,-,1,1,1,3
노원구,상계6.7동,11,-,4,-,-,1,1,-,-,-,-,-,-,1,1,1,-,-,2
노원구,중계2.3동,11,-,6,-,-,-,1,-,-,-,-,-,-,2,-,-,1,-,1
노원구,공릉1동,21,1,6,-,-,-,-,-,-,-,-,1,-,1,1,4,2,-,5
은평구,소계,244,39,83,-,2,7,2,1,4,3,1,2,5,25,15,7,18,6,24
은평구,녹번동,10,2,2,-,-,1,-,-,-,-,-,-,-,1,-,1,1,-,2
은평구,불광1동,22,3,9,-,-,-,2,-,1,-,-,-,-,-,1,-,1,1,4
은평구,갈현1동,20,4,3,-,-,-,-,-,1,-,-,2,1,5,-,1,-,-,3
은평구,갈현2동,21,2,4,-,1,1,-,-,1,1,1,-,1,1,1,2,2,1,2
은평구,구산동,17,2,7,-,-,-,-,-,-,2,-,-,-,1,1,-,2,-,2
은평구,대조동,27,4,8,-,-,2,-,-,1,-,-,-,3,3,3,3,-,-,-
은평구,응암1동,18,2,7,-,-,1,-,-,-,-,-,-,-,3,1,-,2,-,2
은평구,응암2동,6,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1
은평구,신사1동,15,4,7,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-
은평구,신사2동,10,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
은평구,증산동,11,4,3,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1
은평구,수색동,12,3,5,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1
은평구,진관동,14,1,3,-,1,-,-,-,-,-,-,-,-,-,-,-,3,3,3
은평구,불광2동,8,-,2,-,-,1,-,1,-,-,-,-,-,1,2,-,1,-,-
은평구,응암3동,7,2,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1
은평구,역촌동,26,3,14,-,-,-,-,-,-,-,-,-,-,4,2,-,2,-,1
서대문구,소계,215,40,54,3,1,5,4,2,1,2,1,-,2,24,3,5,9,3,56
서대문구,천연동,14,1,6,-,-,-,-,-,-,1,-,-,-,1,-,-,-,2,3
서대문구,홍제1동,18,1,8,-,-,-,1,-,-,-,-,-,-,3,-,-,2,-,3
서대문구,홍제3동,15,6,3,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,3
서대문구,홍제2동,10,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4
서대문구,홍은1동,13,4,3,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,2
서대문구,홍은2동,11,1,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
서대문구,남가좌1동,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
서대문구,남가좌2동,16,5,-,1,-,1,-,-,-,-,-,-,-,3,-,-,-,-,6
서대문구,북가좌1동,4,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1
서대문구,북가좌2동,16,4,5,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,4
서대문구,충현동,14,7,1,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,3
서대문구,북아현동,6,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1
서대문구,신촌동,45,3,4,-,1,2,2,2,-,-,-,-,1,12,2,2,-,-,14
서대문구,연희동,29,6,10,2,-,1,1,-,-,-,-,-,-,2,-,1,-,-,6
마포구,소계,251,44,34,-,1,16,2,-,-,1,1,7,-,56,21,8,21,4,35
마포구,용강동,10,3,-,-,-,-,1,-,-,-,-,-,-,3,2,-,-,-,1
마포구,대흥동,17,6,1,-,-,-,-,-,-,1,-,-,-,5,2,1,-,-,1
마포구,염리동,4,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
마포구,신수동,7,1,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,3
마포구,서교동,73,7,5,-,-,3,-,-,-,-,1,1,-,34,5,3,2,-,12
마포구,합정동,19,7,1,-,-,2,-,-,-,-,-,-,-,1,-,-,3,-,5
마포구,망원1동,16,4,4,-,-,2,-,-,-,-,-,-,-,-,2,-,3,1,-
마포구,망원2동,9,3,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
마포구,연남동,11,1,2,-,-,-,-,-,-,-,-,1,-,3,2,1,1,-,-
마포구,성산1동,9,2,4,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-
마포구,성산2동,13,1,1,-,-,1,-,-,-,-,-,2,-,1,1,1,3,1,1
마포구,상암동,17,1,1,-,1,2,-,-,-,-,-,1,-,1,1,1,4,1,3
마포구,도화동,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
마포구,서강동,18,3,2,-,-,3,-,-,-,-,-,-,-,2,1,-,3,1,3
마포구,공덕동,11,1,2,-,-,1,-,-,-,-,-,1,-,2,2,-,-,-,2
마포구,아현동,13,1,4,-,-,-,1,-,-,-,-,1,-,2,1,1,-,-,2
양천구,소계,218,32,88,8,-,10,10,-,1,-,2,3,1,20,8,8,15,-,12
양천구,목1동,21,-,7,-,-,2,2,-,-,-,-,-,-,3,1,2,3,-,1
양천구,목2동,18,3,6,-,-,-,2,-,-,-,2,-,-,1,2,-,1,-,1
양천구,목3동,9,2,4,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-
양천구,목4동,19,4,6,1,-,-,1,-,-,-,-,-,-,4,1,-,2,-,-
양천구,신월1동,10,3,2,1,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-
양천구,신월2동,6,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
양천구,신월3동,17,7,3,2,-,-,-,-,-,-,-,-,-,1,1,-,1,-,2
양천구,신월4동,4,-,1,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-
양천구,신월5동,7,-,4,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-
양천구,신월6동,7,1,4,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
양천구,신월7동,11,-,5,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,2
양천구,신정1동,4,-,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
양천구,신정2동,9,1,5,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1
양천구,신정3동,26,7,14,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1
양천구,신정6동,5,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
양천구,신정7동,14,-,8,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,1
양천구,목5동,11,-,6,-,-,3,1,-,-,-,-,-,-,-,-,1,-,-,-
양천구,신정4동,20,4,3,3,-,1,1,-,-,-,-,1,-,1,-,2,2,-,2
강서구,소계,301,35,102,1,2,16,10,3,3,1,3,-,4,14,8,23,21,5,50
강서구,염창동,10,-,2,-,-,-,2,-,-,-,-,-,-,1,-,1,2,-,2
강서구,등촌1동,9,2,2,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,1
강서구,등촌2동,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
강서구,등촌3동,27,-,9,-,1,3,2,-,1,-,-,-,1,3,-,3,-,-,4
강서구,화곡본동,30,5,14,-,-,-,-,-,-,-,-,-,2,2,1,-,-,1,5
강서구,화곡2동,9,1,6,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
강서구,화곡3동,11,3,4,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1
강서구,화곡4동,8,2,2,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-
강서구,화곡6동,19,1,6,-,-,1,-,2,-,-,1,-,1,1,1,-,-,1,4
강서구,화곡8동,16,2,6,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,4
강서구,가양1동,17,-,5,-,-,2,-,-,-,-,-,-,-,-,-,5,2,-,3
강서구,가양2동,7,-,2,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,2
강서구,가양3동,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-
강서구,발산1동,18,-,5,-,-,1,1,-,-,-,1,-,-,-,1,2,2,2,3
강서구,공항동,14,4,3,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,4
강서구,방화1동,12,3,3,-,-,1,1,-,-,-,-,-,-,-,-,1,2,-,1
강서구,방화2동,27,6,6,-,-,-,1,-,-,1,-,-,-,2,-,-,3,1,7
강서구,방화3동,12,-,5,-,-,3,-,-,-,-,-,-,-,-,-,1,1,-,2
강서구,화곡1동,36,5,15,-,-,1,-,1,1,-,-,-,-,2,-,2,3,-,6
강서구,우장산동,11,1,5,1,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-
구로구,소계,221,30,54,-,1,20,9,-,-,-,11,6,2,21,16,8,18,5,20
구로구,신도림동,9,1,1,-,-,1,1,-,-,-,2,-,-,-,1,1,1,-,-
구로구,구로1동,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
